Dates,0,1,2,3,4
1989/5/31,0.001921407,-0.000878539,0.00720126,0.006597232,0.008036954
1989/6/30,-0.000226249,0.000614146,-0.012701278,0.003488511,0.009797699
1989/7/31,0.001870893,-0.00158392,0.000979117,0.004224627,0.005616303
1989/8/31,0.002416373,-0.003692321,-0.012347501,0.005847053,0.008483483
1989/9/30,0.001831346,-0.001364442,-0.008550365,0.003209901,0.01056049
1989/10/31,0.005430447,0.001275145,-0.024108824,-0.001490177,0.013477026
1989/11/30,0.000328834,-0.000390053,-0.020001306,0.005690396,0.00824494
1989/12/31,0.002302348,0.002522993,-0.012356311,0.011082018,0.004484479
1990/1/31,0.003794873,0.003267518,-0.00193459,-0.009964792,0.012194412
1990/2/28,0.001116914,-0.000765978,0.007606043,0.004423459,0.011814521
1990/3/31,-0.000434676,-0.001920125,0.006397362,0.000794605,0.009947848
1990/4/30,0.00242548,0.000475113,-0.013171266,0.000572693,0.007319082
1990/5/31,0.008860681,-0.006125819,-0.005973707,0.012486931,0.008601271
1990/6/30,-0.001140289,0.000631795,0.004639774,0.003748142,0.012643001
1990/7/31,-0.002865132,0.005342518,0.004316256,0.000867875,0.011019389
1990/8/31,0.005010592,0.001137705,-0.05137155,-0.008502272,0.027052527
1990/9/30,0.000578391,0.00542371,-0.026491683,-0.000374105,0.012125441
1990/10/31,0.003382912,-0.002472895,-0.039040452,0.000671891,0.021953646
1990/11/30,0.004316067,-0.00596593,-0.00047504,0.004870262,0.018922533
1990/12/31,0.002464026,6.63E-05,-0.007866131,0.010414211,0.007269064
1991/1/31,0.00979388,-0.011113072,0.021286287,0.001507026,0.005750035
1991/2/28,0.011207521,-0.004200578,0.069217887,0.008714215,0.00239875
1991/3/31,0.006391642,-0.005942366,0.034027923,0.001562281,0.009094839
1991/4/30,0.003131001,0.003870479,0.031814697,0.007650705,0.015209115
1991/5/31,3.47E-05,-0.000650642,0.005109326,0.006059252,0.009691395
1991/6/30,-2.15E-05,0.004702459,-0.008903408,0.003106868,0.008944273
1991/7/31,0.00102368,-0.005495266,0.000431035,-0.004028121,0.014498126
1991/8/31,0.003909514,-0.004542682,-0.006517291,0.006291533,0.011286754
1991/9/30,0.001623051,0.000839555,-0.002877212,0.008002691,0.002913905
1991/10/31,0.009216096,-0.002216541,0.000446292,0.010483789,0.007011176
1991/11/30,-0.000482839,0.001852614,0.002890768,-0.004957798,0.018532954
1991/12/31,0.003953167,-0.002405467,0.002587495,0.010757369,0.007499935
1992/1/31,0.006107162,0.001048571,0.12271429,-0.006866879,0.001120014
1992/2/29,0.007758982,0.000122495,0.043160476,-0.003740098,0.000998838
1992/3/31,-0.002162145,0.003917208,0.002811859,0.001973056,0.007607234
1992/4/30,-0.000986594,0.002886499,-0.012654986,0.000255835,0.008768367
1992/5/31,0.001331647,-0.003310077,-0.013530186,0.003005651,0.016755332
1992/6/30,0.001068618,-0.001610157,-0.029565863,-0.003862627,0.017502606
1992/7/31,0.002758304,-0.004121452,-0.009041154,0.005537462,0.011092969
1992/8/31,-0.000378937,0.001607168,-0.012113605,-0.003513719,0.012296364
1992/9/30,0.000238253,0.001684477,0.007931201,0.005928832,0.008042513
1992/10/31,0.001332129,-0.001911025,0.001707766,0.006037391,0.009850702
1992/11/30,0.000927568,-0.004121479,0.022333026,0.012725714,0.009769309
1992/12/31,0.002144967,-0.001954368,0.010641647,0.002585082,0.007311683
1993/1/31,0.003302539,0.002406881,0.060481782,-0.007076134,0.008393288
1993/2/28,0.002825375,0.00459338,0.010117645,-0.002723724,0.007282465
1993/3/31,0.001483084,0.00092221,0.007596034,0.004081318,0.008952633
1993/4/30,0.002608948,-0.004027925,-0.034504571,0.004562817,0.01017687
1993/5/31,0.008046093,-0.001707925,0.013141738,0.013149005,0.006765275
1993/6/30,0.006309224,-0.001041893,0.000459782,0.001945359,0.007439269
1993/7/31,0.003025602,-7.83E-05,0.003712232,-0.000729863,0.00656566
1993/8/31,0.002454872,-0.000198302,0.01106928,0.008980475,0.007702215
1993/9/30,0.001046394,-0.000961196,0.008236125,0.005053101,0.010555679
1993/10/31,0.001461035,0.007205695,0.044165701,0.012543928,-0.003127701
1993/11/30,-0.000979595,0.006136426,0.013632492,0.002511314,0.006675917
1993/12/31,0.00019055,0.001992633,0.005644478,0.008360265,0.005499191
1994/1/31,0.006168124,-1.29E-05,0.027357979,0.008482197,0.003869409
1994/2/28,0.001441862,3.04E-05,-0.002034777,0.002048243,0.009425824
