date,q5mkt,q5me,q5ia,q5roe,q5eg
198410,-0.8323,-1.4098,-0.3033,2.6699,1.8111
198411,-1.7642,-1.0611,2.2176,0.7994,1.6373
198412,1.7787,-0.4105,-0.8106,2.5112,1.3006
198501,7.96,3.4367,-3.4516,0.9888,-1.6525
198502,1.1965,0.7616,1.0958,1.5322,2.2437
198503,-0.8419,-2.0585,3.3111,0.9456,2.0324
198504,-0.9973,-0.6881,1.4012,0.1215,1.8021
198505,5.1201,-1.6118,-1.2667,3.243,1.5286
198506,1.2632,-0.5444,-0.1402,2.8783,1.6833
198507,-0.7145,2.3504,-0.8343,-1.7883,1.3406
198508,-1.0296,-0.1602,2.0702,0.4266,1.0419
198509,-4.5089,-1.8447,1.9424,1.1445,1.7479
198510,4.0491,-0.1913,0.2881,2.233,2.8931
198511,6.432,-0.2272,-1.643,1.7564,-0.9268
198512,3.9078,0.2882,-1.5031,1.7438,-0.9284
198601,0.7227,1.06,-0.6883,1.653,1.7818
198602,7.1168,-0.3587,-1.4016,2.3756,0.8424
198603,4.8772,0.6255,1.0909,2.0581,1.7081
198604,-1.2944,1.066,-1.576,0.6493,0.0184
198605,4.6065,-1.1507,1.2884,3.3762,0.9818
198606,1.0324,-0.2631,1.6555,5.2598,0.8818
198607,-6.4162,-2.7392,1.3922,2.9692,2.7937
198608,6.0496,-4.3752,3.0475,-2.709,1.6055
198609,-8.6058,0.5503,3.3766,-3.7962,-0.3482
198610,4.6836,-1.7598,0.5282,1.505,0.6012
198611,1.1606,-1.9889,0.3816,1.1185,3.7262
198612,-3.2311,0.8446,1.0676,1.8948,1.6509
198701,12.44,-1.2374,-1.2555,0.9573,2.8709
198702,4.3789,3.3665,-1.9139,2.0684,-1.0583
198703,1.6041,-0.7151,4.2001,-1.1294,1.3212
198704,-2.0802,-2.4687,0.3054,-1.5336,0.5546
198705,0.1082,-1.2157,-0.1208,-2.3436,-0.1604
198706,3.8854,-1.521,1.3763,1.4245,-0.1725
198707,3.8826,-2.0803,0.1168,-1.7888,-0.6461
198708,3.517,-0.1983,-0.2478,3.8033,2.47
198709,-2.614,0.6269,1.9312,0.5893,1.8371
198710,-23.1879,-7.4742,3.3505,0.3321,2.5122
198711,-7.731,3.269,0.5934,-0.6684,0.9005
198712,6.9067,0.2423,-2.4286,3.8977,1.5001
198801,4.2247,-0.7423,1.3309,-4.0763,-1.7613
198802,4.7514,3.511,-0.597,1.0296,-0.5611
198803,-2.2571,5.7006,1.6541,-2.1572,-2.0542
198804,0.565,0.9345,2.1932,0.6511,0.8805
198805,-0.2803,-1.1958,0.5942,-0.1354,1.2654
198806,4.7832,2.7853,-3.2605,2.2112,1.827
198807,-1.2466,0.2162,1.1054,-1.1317,0.0362
198808,-3.3012,0.0323,1.6719,-2.1552,-0.3743
198809,3.2965,-1.4556,-0.42,2.1771,0.8003
198810,1.1583,-2.8125,0.5013,0.056,0.6658
198811,-2.2859,-1.928,1.3928,-0.4884,0.3857
198812,1.4837,2.4204,0.4539,0.7818,0.3588
198901,6.0493,-2.204,0.0107,-0.3507,1.5755
198902,-2.2487,2.9516,1.5631,-0.4588,-0.1775
198903,1.6143,1.3323,1.2637,-0.142,0.7625
198904,4.3084,-0.9415,-0.2841,1.1641,-0.2366
198905,3.324,0.0394,0.1016,1.1975,0.4101
198906,-1.3768,-0.7322,1.593,-0.1521,-0.945
198907,7.1685,-3.464,-0.4503,4.9063,2.513
198908,1.5108,0.484,-0.4255,1.6506,0.1417
198909,-0.755,0.7698,1.1982,1.6439,1.9521
198910,-3.6616,-3.3543,1.2994,1.4077,2.3565
198911,1.0797,-1.3396,1.6323,0.2406,-0.6157
198912,1.1757,-1.9468,1.5752,1.0677,2.4412
199001,-7.8121,-1.2188,0.925,0.0355,-0.2233
199002,1.1005,1.1796,-1.0948,-0.3925,0.0922
199003,1.8341,1.2208,-0.3645,2.2864,1.6764
199004,-3.349,-0.4983,-0.7918,1.9801,0.5974
199005,8.4551,-1.6378,-0.8619,3.7369,2.6182
199006,-1.0525,1.845,0.2453,2.2253,-0.2247
199007,-1.8917,-2.4684,4.0112,2.5571,0.0433
199008,-10.0751,-4.526,3.7203,-0.9983,1.2578
199009,-6.1127,-3.4191,2.6212,-0.4552,2.6916
199010,-1.8953,-5.0423,0.2605,2.077,3.0868
199011,6.3399,0.4489,-3.9833,1.5215,-0.8148
199012,2.4606,1.3158,-1.9466,3.8535,1.5238
199101,4.7364,3.3624,-3.9503,0.1591,1.585
199102,7.1852,3.6299,0.1463,-1.2402,-0.6823
199103,2.6593,3.9312,-0.9285,1.6779,0.1004
199104,-0.2777,-0.7093,0.4677,1.3981,0.6058
199105,3.6749,-0.5648,-1.9526,-0.7118,-1.0608
199106,-4.9394,0.0591,0.6135,1.3683,0.4787
199107,4.2415,-0.5313,-0.656,3.061,0.3612
199108,2.315,1.2954,-0.0464,1.1455,-0.2482
199109,-1.5905,1.8119,-0.824,-0.367,0.2138
199110,1.2859,0.554,1.3506,-0.0233,3.2052
199111,-4.1854,-0.2715,0.2786,3.3179,0.4173
199112,10.8282,-1.4904,-2.0414,6.7612,-0.4691
199201,-0.5576,8.3502,1.5127,-4.1068,1.542
199202,1.0845,1.4008,2.2591,0.7471,2.2073
199203,-2.654,-1.2085,1.9963,1.013,1.9936
199204,1.0759,-6.9442,1.7888,-1.7091,1.9739
199205,0.2999,-0.2592,0.2978,-0.2058,-0.7497
199206,-2.3291,-2.639,0.6456,1.0292,0.7977
199207,3.7905,-0.8361,0.4045,2.5413,0.0568
199208,-2.3768,-0.3076,-0.7904,1.5188,-0.9025
199209,1.1929,0.6785,-0.3989,2.3975,-0.8834
199210,1.016,1.5417,-0.374,2.1317,0.5956
199211,4.1282,3.6824,-1.1853,0.9419,-0.1686
199212,1.5885,2.7403,1.4042,1.8351,1.0366
199301,0.9306,2.3205,2.9756,-1.4524,0.0247
199302,0.1217,-3.3241,3.6485,-1.4498,2.393
199303,2.3138,-0.0213,0.9153,1.8026,0.5161
199304,-3.0466,-1.1614,1.2062,-3.0094,2.0753
199305,2.8845,1.8028,-0.8324,-0.5745,-0.3593
199306,0.2822,1.5873,1.8188,3.0181,1.4058
199307,-0.344,1.3951,1.4477,-0.5825,0.7912
199308,3.7117,-0.0209,-0.0505,0.4747,0.7651
199309,-0.1006,3.1012,0.2582,0.9326,1.4091
199310,1.4145,0.4139,-0.5567,-1.4235,-1.1779
199311,-1.8646,-1.8754,-0.7414,-0.7395,0.1227
199312,1.6455,2.1113,-0.2615,2.3815,2.2577
199401,2.8658,0.1606,1.124,-0.9212,0.9317
199402,-2.5445,2.6566,-0.4777,2.6552,1.6046
199403,-4.7557,-0.9444,0.9631,0.2169,1.2552
199404,0.6802,-0.8153,1.284,1.5378,1.5313
199405,0.5799,-1.9768,0.5332,-0.7439,1.2084
199406,-3.0381,-0.8432,0.8985,0.1797,1.3259
199407,2.8162,-1.4321,0.4259,0.7148,-0.1256
199408,4.0149,2.0904,-0.6915,2.061,2.6728
199409,-2.2847,2.2081,0.5879,1.0911,0.894
199410,1.3464,-1.82,0.1615,0.3556,2.476
199411,-4.0277,0.5354,-1.0043,1.3703,1.4395
199412,0.8589,1.1739,1.2933,3.9844,3.6683
199501,1.7978,-2.4308,-0.0027,-0.063,1.1994
199502,3.6324,-0.6967,-0.8486,0.5097,1.2134
199503,2.2365,-1.2146,0.1684,1.2655,0.7729
199504,2.1075,-0.0076,0.0068,0.142,3.4525
199505,2.8944,-2.2038,0.8586,-1.0066,1.4665
199506,2.7154,3.2191,-1.7466,2.1275,1.8057
199507,3.7124,1.7624,-2.5443,0.9451,0.3082
199508,0.552,2.3542,2.1996,0.1377,1.2945
199509,3.3514,-0.7905,1.9328,1.3917,3.123
199510,-1.5134,-5.0247,0.7822,2.7798,4.4585
199511,3.9629,-0.7575,1.1262,-0.2398,-1.2686
199512,1.0392,0.6315,3.1163,0.2794,0.4029
199601,2.2598,-2.6865,2.451,-1.5087,1.4014
199602,1.3296,2.7354,-0.9876,3.1394,0.7299
199603,0.7287,1.873,-0.6897,0.2756,-1.3198
199604,2.0648,5.1852,-1.8073,2.8673,1.1692
199605,2.3872,4.4631,1.0265,1.864,-1.4412
199606,-1.134,-4.2992,1.7381,0.866,1.7042
199607,-5.9558,-3.3587,2.0165,2.415,2.9389
199608,2.7697,2.4811,-1.8529,0.1305,-1.3885
199609,5.0077,-1.4457,-1.7381,2.2071,2.9315
199610,0.8673,-2.4195,3.6633,1.8831,3.2276
199611,6.2603,-3.5327,-1.3109,0.8165,5.3891
199612,-1.679,3.3237,1.2254,0.9371,1.7252
199701,5.013,-0.7925,-0.6468,1.8122,2.5869
199702,-0.4744,-2.4667,2.9153,-1.5374,0.5919
199703,-5.0188,-0.5279,1.7515,1.7709,0.2063
199704,4.0341,-4.7258,-1.8801,3.8599,3.018
199705,6.7964,5.0194,-3.2305,-0.2201,-1.4875
199706,4.0933,1.0326,0.2313,2.1092,0.1204
199707,7.3152,-1.4173,-3.0399,1.2853,1.2828
199708,-4.0954,7.4958,-0.7063,-1.4193,0.4387
199709,5.3264,2.435,-0.1259,-1.0418,-2.61
199710,-3.7644,-1.0927,2.6609,-1.0477,-1.4188
199711,2.9981,-5.5215,2.8806,1.4026,3.6357
199712,1.348,-2.2243,2.2367,1.572,-2.4011
199801,0.1509,-1.216,-1.2061,2.1884,2.597
199802,7.0327,1.0586,-2.453,1.1388,-0.2961
199803,4.7031,-0.3378,0.4996,-0.1759,-1.0942
199804,0.7322,0.4966,0.1837,-0.1992,2.2962
199805,-3.0412,-2.6343,2.2555,1.7795,1.0565
199806,3.1843,-3.2848,-1.5148,3.159,0.4236
199807,-2.413,-5.7048,1.8843,0.9703,2.8081
199808,-16.0284,-6.1864,5.4602,3.0578,6.7132
199809,6.2602,-2.0594,-3.0814,-1.8263,1.275
199810,6.9971,-2.1685,-0.9607,0.6384,-0.5139
199811,6.0495,0.8957,-0.0256,1.37,1.295
199812,6.1323,-1.8735,-2.9332,2.9291,-2.2554
199901,3.4908,-1.8912,-4.4699,-3.2508,-1.0676
199902,-4.0599,-4.2284,4.8135,0.016,0.011
199903,3.4926,-5.5833,0.3158,-0.6922,0.3997
199904,4.3249,3.9806,2.6555,-5.152,0.444
199905,-2.4584,4.945,0.4504,0.6804,1.8903
199906,4.7478,3.1512,-2.1112,2.391,4.329
199907,-3.4788,2.264,3.4338,1.0281,1.9786
199908,-1.3686,-1.5514,-1.1989,-0.0297,4.6299
199909,-2.7545,1.7307,-1.3826,-0.1695,-1.0359
199910,6.1243,-5.6493,0.3316,2.0317,1.7882
199911,3.3619,5.7518,-3.931,-3.0073,1.1586
199912,7.7532,4.1765,-5.4904,-5.4444,-0.6029
200001,-4.7631,5.6171,2.9355,-4.9998,0.6306
200002,2.4578,22.1445,-5.3931,-7.5531,-3.1129
200003,5.2267,-14.402,1.835,7.6849,3.508
200004,-6.3784,-4.8608,3.7871,8.7092,5.105
200005,-4.369,-4.595,0.5085,0.0196,3.7028
200006,4.6562,10.2649,-3.3905,-4.7546,-1.8045
200007,-2.42,0.995,2.2468,3.4292,3.2749
200008,7.0279,0.4492,-0.7996,-2.082,-1.098
200009,-5.4347,1.6354,5.2247,2.1026,0.7955
200010,-2.7431,-2.223,2.9226,7.3215,6.4705
200011,-10.6882,1.5397,7.4487,10.3593,10.9018
200012,1.1951,4.6807,6.3542,5.186,0.5126
200101,3.2649,2.7241,-7.1285,-10.7883,-6.1594
200102,-10.0213,2.8908,9.2226,5.1517,6.3589
200103,-7.2697,2.9526,3.7573,3.459,2.6587
200104,7.9372,-0.9184,-3.7563,0.0915,-5.4515
200105,0.6859,4.3574,2.3801,-2.5149,-0.2513
200106,-1.9318,6.7189,-1.7996,-0.7916,1.9722
200107,-2.1316,-2.1192,1.3768,3.9508,5.5121
200108,-6.3876,2.3699,5.641,4.3155,5.6455
200109,-9.2406,-4.9253,2.8644,9.1919,5.7667
200110,2.4885,3.4911,-2.9706,-4.3929,-0.5555
200111,7.529,-1.3906,-1.1391,-8.4893,-2.9927
200112,1.6088,5.3189,-0.1761,0.5421,-2.257
200201,-1.4322,0.7237,3.2498,0.3033,4.2877
200202,-2.292,-0.4922,4.4456,5.3235,3.7643
200203,4.2381,4.6098,0.7761,-4.7001,-0.5528
200204,-5.2055,7.5846,4.0731,5.4639,4.0819
200205,-1.3564,-3.1795,2.1865,1.8111,0.6156
200206,-7.2085,3.5661,3.5485,4.9409,0.5052
200207,-8.19,-6.3911,1.9786,6.7016,4.9683
200208,0.4937,0.0007,-0.8574,2.5491,-1.7192
200209,-10.3257,3.12,-2.1364,4.4049,1.1299
200210,7.8301,-5.1206,0.2843,-4.5614,1.5123
200211,5.9526,1.496,3.2719,-11.1725,-3.1022
200212,-5.7527,0.0671,-2.2589,5.3188,2.2776
200301,-2.5618,-0.9824,0.6982,-0.589,0.7808
200302,-1.8826,-2.0245,-0.1272,0.8778,1.3997
200303,1.0908,1.4039,-0.1257,3.4092,-0.9347
200304,8.1807,2.3547,1.0369,-4.4513,-2.9391
200305,6.0466,3.8174,1.848,-8.2331,-1.6245
200306,1.4214,2.221,-1.0629,1.0948,-0.1291
200307,2.3359,4.3762,2.3405,-1.7422,-0.8789
200308,2.3282,2.2397,2.3621,-1.2384,-1.6327
200309,-1.2402,0.6889,0.2279,1.2631,2.3261
200310,6.0782,3.0474,1.031,-1.7507,-0.5642
200311,1.3469,2.1957,2.3052,0.7767,0.5379
200312,4.283,-2.7811,0.774,-1.7394,-1.3486
200401,2.1525,3.1121,2.0585,-2.4364,0.837
200402,1.3997,-0.3075,-0.8855,2.1354,-0.0152
200403,-1.3163,2.5218,-0.7352,1.7567,-1.0578
200404,-1.8184,-3.2185,-2.9001,0.0193,1.427
200405,1.1742,-0.3819,0.551,1.068,-0.2178
200406,1.8607,2.2399,-0.2618,0.5621,0.6322
200407,-4.0549,-3.3502,-0.9772,2.4066,3.0646
200408,0.0745,-1.5163,-1.1996,-1.2272,0.176
200409,1.5958,3.7951,-2.2121,-0.2123,-1.6176
200410,1.4237,-0.7841,0.584,-1.4399,0.0033
200411,4.5362,4.4728,-0.4263,-1.1342,-1.6565
200412,3.4131,-0.041,0.3018,-0.8597,-1.1293
200501,-2.7543,-0.3941,-0.4036,3.2457,1.2576
200502,1.8819,0.1469,0.2917,3.5726,0.6662
200503,-1.9348,-1.7448,0.9394,0.535,1.8949
200504,-2.6089,-4.4794,-1.4563,-1.1019,2.1604
200505,3.6511,2.9656,-0.0579,0.9641,0.4258
200506,0.571,3.8096,-0.1983,-0.4264,-0.4162
200507,3.9143,2.7307,-2.0741,-0.2056,-0.4032
200508,-1.1886,-0.7894,0.2365,-0.6858,-0.6057
200509,0.4859,0.006,-0.0283,0.858,0.2596
200510,-2.0446,-0.5142,-0.3185,1.1029,-0.5479
200511,3.6182,1.2181,-1.0467,0.7767,-0.6024
200512,-0.2427,-0.0272,0.8831,0.2219,1.0851
200601,3.0377,6.4402,-0.6827,-0.2638,0.8754
200602,-0.2928,-0.389,2.4367,-1.0088,-1.0037
200603,1.4648,3.1186,-1.346,0.7682,-0.7847
200604,0.7296,-0.3044,0.3425,0.8234,-0.1292
200605,-3.5448,-3.5172,1.325,-0.0888,-1.598
200606,-0.3492,-0.3339,-0.3929,1.043,0.6258
200607,-0.776,-3.1601,1.3515,0.545,3.2009
200608,2.0201,0.4272,1.9357,-1.3436,-0.1446
200609,1.8459,-0.9658,0.9846,0.6327,0.9511
200610,3.226,1.9769,0.2011,-0.2861,0.445
200611,1.7004,0.3938,-1.5991,0.485,-0.8997
200612,0.8638,-0.0015,1.8288,-0.5587,-1.2249
200701,1.3927,-0.095,0.6304,0.0206,0.0683
200702,-1.9559,1.4278,-0.9739,-0.7456,-0.0687
200703,0.6903,-0.1825,-1.1944,0.4356,-0.2037
200704,3.4828,-1.7342,0.848,0.5436,1.1127
200705,3.2409,-0.2543,-2.3087,0.5236,0.1331
200706,-1.949,0.5452,0.9511,1.2065,-0.5937
200707,-3.7154,-3.0159,-2.2891,1.6369,0.0496
200708,0.9173,-0.8207,-1.3054,0.9418,0.4943
200709,3.2021,-2.4039,-3.2183,1.6356,-0.4745
